ds,y
5/1/98,1121
4/30/98,1111.75
4/29/98,1094.619995
4/28/98,1085.109985
4/27/98,1086.540039
4/24/98,1107.900024
4/23/98,1119.579956
4/22/98,1130.540039
4/21/98,1126.670044
4/20/98,1123.650024
4/17/98,1122.719971
4/16/98,1108.170044
4/15/98,1119.319946
4/14/98,1115.75
4/13/98,1109.689941
4/9/98,1110.670044
4/8/98,1101.650024
4/7/98,1109.550049
4/6/98,1121.380005
4/3/98,1122.699951
4/2/98,1120.01001
4/1/98,1108.150024
3/31/98,1101.75
3/30/98,1093.599976
3/27/98,1095.439941
3/26/98,1100.800049
3/25/98,1101.930054
3/24/98,1105.650024
3/23/98,1095.550049
3/20/98,1099.160034
3/19/98,1089.73999
3/18/98,1085.52002
3/17/98,1080.449951
3/16/98,1079.27002
3/13/98,1068.609985
3/12/98,1069.920044
3/11/98,1068.469971
3/10/98,1064.25
3/9/98,1052.310059
3/6/98,1055.689941
3/5/98,1035.050049
3/4/98,1047.329956
3/3/98,1052.02002
3/2/98,1047.699951
2/27/98,1049.339966
2/26/98,1048.670044
2/25/98,1042.900024
2/24/98,1030.560059
2/23/98,1038.140015
2/20/98,1034.209961
2/19/98,1028.280029
2/18/98,1032.079956
2/17/98,1022.76001
2/13/98,1020.090027
2/12/98,1024.140015
2/11/98,1020.01001
2/10/98,1019.01001
2/9/98,1010.73999
2/6/98,1012.460022
2/5/98,1003.539978
2/4/98,1006.900024
2/3/98,1006
2/2/98,1001.27002
1/30/98,980.280029
1/29/98,985.48999
1/28/98,977.460022
1/27/98,969.02002
1/26/98,956.950012
1/23/98,957.590027
1/22/98,963.039978
1/21/98,970.809998
1/20/98,978.599976
1/16/98,961.51001
1/15/98,950.72998
1/14/98,957.940002
1/13/98,952.119995
1/12/98,939.210022
1/9/98,927.690002
1/8/98,956.049988
1/7/98,964
1/6/98,966.580017
1/5/98,977.070007
1/2/98,975.039978
12/31/97,970.429993
12/30/97,970.840027
12/29/97,953.349976
12/26/97,936.460022
12/24/97,932.700012
12/23/97,939.130005
12/22/97,953.700012
12/19/97,946.780029
12/18/97,955.299988
12/17/97,965.539978
12/16/97,968.039978
12/15/97,963.390015
12/12/97,953.390015
12/11/97,954.940002
12/10/97,969.789978
12/9/97,975.780029
12/8/97,982.369995
12/5/97,983.789978
12/4/97,973.099976
12/3/97,976.77002
12/2/97,971.679993
12/1/97,974.77002
11/28/97,955.400024
11/26/97,951.640015
11/25/97,950.820007
11/24/97,946.669983
11/21/97,963.090027
11/20/97,958.97998
11/19/97,944.590027
11/18/97,938.22998
11/17/97,946.200012
11/14/97,928.349976
11/13/97,916.659973
11/12/97,905.960022
11/11/97,923.780029
11/10/97,921.130005
11/7/97,927.51001
11/6/97,938.030029
11/5/97,942.76001
11/4/97,940.76001
11/3/97,938.98999
10/31/97,914.619995
10/30/97,903.679993
10/29/97,919.159973
10/28/97,921.849976
10/27/97,876.98999
10/24/97,941.640015
10/23/97,950.690002
10/22/97,968.48999
10/21/97,972.280029
10/20/97,955.609985
10/17/97,944.159973
10/16/97,955.25
10/15/97,965.719971
10/14/97,970.280029
10/13/97,968.099976
10/10/97,966.97998
10/9/97,970.619995
10/8/97,973.840027
10/7/97,983.119995
10/6/97,972.690002
10/3/97,965.030029
10/2/97,960.460022
10/1/97,955.409973
9/30/97,947.280029
9/29/97,953.340027
9/26/97,945.219971
9/25/97,937.909973
9/24/97,944.47998
9/23/97,951.929993
9/22/97,955.429993
9/19/97,950.51001
9/18/97,947.289978
9/17/97,943
9/16/97,945.640015
9/15/97,919.77002
9/12/97,923.909973
9/11/97,912.590027
9/10/97,919.030029
9/9/97,933.619995
9/8/97,931.200012
9/5/97,929.049988
9/4/97,930.869995
9/3/97,927.859985
9/2/97,927.580017
8/29/97,899.469971
8/28/97,903.669983
8/27/97,913.700012
8/26/97,913.02002
8/25/97,920.159973
8/22/97,923.539978
8/21/97,925.049988
8/20/97,939.349976
8/19/97,926.01001
8/18/97,912.48999
8/15/97,900.809998
8/14/97,924.77002
8/13/97,922.02002
8/12/97,926.530029
8/11/97,937
8/8/97,933.539978
8/7/97,951.190002
8/6/97,960.320007
8/5/97,952.369995
8/4/97,950.299988
8/1/97,947.140015
7/31/97,954.309998
7/30/97,952.289978
7/29/97,942.289978
7/28/97,936.450012
7/25/97,938.789978
7/24/97,940.299988
7/23/97,936.559998
7/22/97,933.97998
7/21/97,912.940002
7/18/97,915.299988
7/17/97,931.609985
7/16/97,936.590027
7/15/97,925.76001
7/14/97,918.380005
7/11/97,916.679993
7/10/97,913.780029
7/9/97,907.539978
7/8/97,918.75
7/7/97,912.200012
7/3/97,916.919983
7/2/97,904.030029
7/1/97,891.030029
6/30/97,885.140015
6/27/97,887.299988
6/26/97,883.679993
6/25/97,888.98999
6/24/97,896.340027
6/23/97,878.619995
6/20/97,898.700012
6/19/97,897.98999
6/18/97,889.059998
6/17/97,894.419983
6/16/97,893.900024
6/13/97,893.27002
6/12/97,883.460022
6/11/97,869.570007
6/10/97,865.27002
6/9/97,862.909973
6/6/97,858.01001
6/5/97,843.429993
6/4/97,840.109985
6/3/97,845.47998
6/2/97,846.359985
5/30/97,848.280029
5/29/97,844.080017
5/28/97,847.210022
5/27/97,849.710022
5/23/97,847.030029
5/22/97,835.659973
5/21/97,839.349976
5/20/97,841.659973
5/19/97,833.27002
5/16/97,829.75
5/15/97,841.880005
5/14/97,836.039978
5/13/97,833.130005
5/12/97,837.659973
5/9/97,824.780029
5/8/97,820.26001
5/7/97,815.619995
5/6/97,827.76001
5/5/97,830.289978
5/2/97,812.969971
5/1/97,798.530029
4/30/97,801.340027
4/29/97,794.049988
4/28/97,772.960022
4/25/97,765.369995
4/24/97,771.179993
4/23/97,773.640015
4/22/97,774.609985
4/21/97,760.369995
4/18/97,766.340027
4/17/97,761.77002
4/16/97,763.530029
4/15/97,754.719971
4/14/97,743.72998
4/11/97,737.650024
4/10/97,758.340027
4/9/97,760.599976
4/8/97,766.119995
4/7/97,762.130005
4/4/97,757.900024
4/3/97,750.320007
4/2/97,750.109985
4/1/97,759.640015
3/31/97,757.119995
3/27/97,773.880005
3/26/97,790.5
3/25/97,789.070007
3/24/97,790.890015
3/21/97,784.099976
3/20/97,782.650024
3/19/97,785.77002
3/18/97,789.659973
3/17/97,795.710022
3/14/97,793.169983
3/13/97,789.559998
3/12/97,804.26001
3/11/97,811.340027
3/10/97,813.650024
3/7/97,804.969971
3/6/97,798.559998
3/5/97,801.98999
3/4/97,790.950012
3/3/97,795.309998
2/28/97,790.820007
2/27/97,795.070007
2/26/97,805.679993
2/25/97,812.030029
2/24/97,810.280029
2/21/97,801.77002
2/20/97,802.799988
2/19/97,812.48999
2/18/97,816.289978
2/14/97,808.47998
2/13/97,811.820007
2/12/97,802.77002
2/11/97,789.590027
2/10/97,785.429993
2/7/97,789.559998
2/6/97,780.150024
2/5/97,778.280029
2/4/97,789.26001
2/3/97,786.72998
1/31/97,786.159973
1/30/97,784.169983
1/29/97,772.5
1/28/97,765.02002
1/27/97,765.02002
1/24/97,770.52002
1/23/97,777.559998
1/22/97,786.22998
1/21/97,782.719971
1/20/97,776.700012
1/17/97,776.169983
1/16/97,769.75
